dataset_id,dataset,feature_resolution,feature_type,mapper,training_resolution,run_id,outer_run_id,row_type,patch_id,status,sfm_status,patch_size,gaussian_limit,max_width,ssim,psnr,lpips,metric_source,eval_target_source,eval_image_width,eval_image_height,training_runtime_seconds,actual_splat_count,peak_ram_mib,peak_vram_mib,failure_reason,sfm_warning,updated_at,source_uri
D3,dataset3,1024,sift,global,full,splat_dataset3_sfm_1024_sift_global_resfull_patch400_2m,splat_dataset3_sfm_1024_sift_global_resfull_patch400_stage2,patch,p006,FAILED,complete,400,2000000,,,,,,full_resolution_undistorted,3483,5221,2080.142,,10526,26197,lfs_exit_1,,2026-07-12T21:00:53.991144+00:00,s3://3dreefs-ben-eu-north1/experiments/ablations/stage2_resolution_fullres_eval/runs/splat_dataset3_sfm_1024_sift_global_resfull_patch400_stage2/ablation_eval/results_splat.csv
D3,dataset3,1024,sift,global,full,splat_dataset3_sfm_1024_sift_global_resfull_patch800_2m,splat_dataset3_sfm_1024_sift_global_resfull_patch800_stage2,patch,p000,FAILED,complete,800,2000000,,,,,,full_resolution_undistorted,3485,5227,1786.321,,11033,20487,lfs_exit_1,,2026-07-12T07:14:09.145629+00:00,s3://3dreefs-ben-eu-north1/experiments/ablations/stage2_resolution_fullres_eval/runs/splat_dataset3_sfm_1024_sift_global_resfull_patch800_stage2/ablation_eval/results_splat.csv
D3,dataset3,1024,sift,global,full,splat_dataset3_sfm_1024_sift_global_resfull_patch800_2m,splat_dataset3_sfm_1024_sift_global_resfull_patch800_stage2,patch,p001,FAILED,complete,800,2000000,,,,,,full_resolution_undistorted,3483,5221,1404.611,,9898,8509,lfs_exit_1,,2026-07-12T07:37:49.862170+00:00,s3://3dreefs-ben-eu-north1/experiments/ablations/stage2_resolution_fullres_eval/runs/splat_dataset3_sfm_1024_sift_global_resfull_patch800_stage2/ablation_eval/results_splat.csv
D3,dataset3,1024,sift,global,full,splat_dataset3_sfm_1024_sift_global_resfull_patch800_2m,splat_dataset3_sfm_1024_sift_global_resfull_patch800_stage2,patch,p002,FAILED,complete,800,2000000,,,,,,full_resolution_undistorted,3483,5221,1619.328,,10967,9577,lfs_exit_1,,2026-07-12T08:05:09.523020+00:00,s3://3dreefs-ben-eu-north1/experiments/ablations/stage2_resolution_fullres_eval/runs/splat_dataset3_sfm_1024_sift_global_resfull_patch800_stage2/ablation_eval/results_splat.csv
D3,dataset3,1024,sift,global,full,splat_dataset3_sfm_1024_sift_global_resfull_patch800_2m,splat_dataset3_sfm_1024_sift_global_resfull_patch800_stage2,patch,p003,FAILED,complete,800,2000000,,,,,,full_resolution_undistorted,3485,5227,1744.78,,10452,12883,lfs_exit_1,,2026-07-12T08:34:36.244535+00:00,s3://3dreefs-ben-eu-north1/experiments/ablations/stage2_resolution_fullres_eval/runs/splat_dataset3_sfm_1024_sift_global_resfull_patch800_stage2/ablation_eval/results_splat.csv
D4,dataset4,1024,sift,global,full,splat_dataset4_sfm_1024_sift_global_resfull_patch800_2m,splat_dataset4_sfm_1024_sift_global_resfull_patch800_stage2,patch,p012,FAILED,complete,800,2000000,,,,,,full_resolution_undistorted,5363,4708,1756.731,,9969,27623,lfs_exit_1,,2026-07-13T11:30:20.568534+00:00,s3://3dreefs-ben-eu-north1/experiments/ablations/stage2_resolution_fullres_eval/runs/splat_dataset4_sfm_1024_sift_global_resfull_patch800_stage2/ablation_eval/results_splat.csv
D5,dataset5,1024,sift,global,full,splat_dataset5_sfm_1024_sift_global_resfull_patch800_2m,splat_dataset5_sfm_1024_sift_global_resfull_patch800_stage2,patch,p002,FAILED,complete,800,2000000,,,,,,full_resolution_undistorted,3240,2432,1129.688,,8729,19887,lfs_exit_1,,2026-07-12T08:34:24.384862+00:00,s3://3dreefs-ben-eu-north1/experiments/ablations/stage2_resolution_fullres_eval/runs/splat_dataset5_sfm_1024_sift_global_resfull_patch800_stage2/ablation_eval/results_splat.csv
D5,dataset5,1024,sift,global,full,splat_dataset5_sfm_1024_sift_global_resfull_patch800_2m,splat_dataset5_sfm_1024_sift_global_resfull_patch800_stage2,patch,p008,FAILED,complete,800,2000000,,,,,,full_resolution_undistorted,3239,2429,1305.388,,9070,12565,lfs_exit_1,,2026-07-12T09:59:58.749104+00:00,s3://3dreefs-ben-eu-north1/experiments/ablations/stage2_resolution_fullres_eval/runs/splat_dataset5_sfm_1024_sift_global_resfull_patch800_stage2/ablation_eval/results_splat.csv
