dataset_id,dataset,feature_resolution,feature_type,mapper,training_resolution,run_id,outer_run_id,row_type,patch_id,status,sfm_status,patch_size,gaussian_limit,max_width,ssim,psnr,lpips,metric_source,eval_target_source,eval_image_width,eval_image_height,training_runtime_seconds,actual_splat_count,peak_ram_mib,peak_vram_mib,failure_reason,sfm_warning,updated_at,source_uri
D1,dataset1,1024,sift,global,1024,splat_dataset1_sfm_1024_sift_global_res1024_patch200_2m,splat_dataset1_sfm_1024_sift_global_res1024_patch200_stage2,patch,p000,COMPLETE,complete,200,2000000,,0.6759392783045769,22.087797789858914,0.4086744859814644,python_full_resolution_undistorted,full_resolution_undistorted,5347,4691,528.824,2000000,8260,9843,completed_requested_iterations,,2026-07-12T08:41:05.349722+00:00,s3://3dreefs-ben-eu-north1/experiments/ablations/stage2_resolution_fullres_eval/runs/splat_dataset1_sfm_1024_sift_global_res1024_patch200_stage2/ablation_eval/results_splat.csv
D1,dataset1,1024,sift,global,1024,splat_dataset1_sfm_1024_sift_global_res1024_patch200_2m,splat_dataset1_sfm_1024_sift_global_res1024_patch200_stage2,patch,p008,COMPLETE,complete,200,2000000,,0.6850036117765639,21.29994749651094,0.39002325965298545,python_full_resolution_undistorted,full_resolution_undistorted,5347,4691,567.05,2000000,7981,14449,completed_requested_iterations,,2026-07-12T08:54:10.486169+00:00,s3://3dreefs-ben-eu-north1/experiments/ablations/stage2_resolution_fullres_eval/runs/splat_dataset1_sfm_1024_sift_global_res1024_patch200_stage2/ablation_eval/results_splat.csv
D1,dataset1,1024,sift,global,1024,splat_dataset1_sfm_1024_sift_global_res1024_patch200_2m,splat_dataset1_sfm_1024_sift_global_res1024_patch200_stage2,patch,p017,COMPLETE,complete,200,2000000,,0.692289976697219,21.592940212570895,0.4143610910365456,python_full_resolution_undistorted,full_resolution_undistorted,5347,4691,546.783,2000000,8007,14477,completed_requested_iterations,,2026-07-12T09:07:07.498905+00:00,s3://3dreefs-ben-eu-north1/experiments/ablations/stage2_resolution_fullres_eval/runs/splat_dataset1_sfm_1024_sift_global_res1024_patch200_stage2/ablation_eval/results_splat.csv
D1,dataset1,1024,sift,global,1024,splat_dataset1_sfm_1024_sift_global_res1024_patch200_2m,splat_dataset1_sfm_1024_sift_global_res1024_patch200_stage2,patch,p025,COMPLETE,complete,200,2000000,,0.6629264089796278,20.66915992099121,0.40173880093627506,python_full_resolution_undistorted,full_resolution_undistorted,5347,4691,571.5,2000000,8650,14361,completed_requested_iterations,,2026-07-12T09:20:19.550082+00:00,s3://3dreefs-ben-eu-north1/experiments/ablations/stage2_resolution_fullres_eval/runs/splat_dataset1_sfm_1024_sift_global_res1024_patch200_stage2/ablation_eval/results_splat.csv
D1,dataset1,1024,sift,global,1024,splat_dataset1_sfm_1024_sift_global_res1024_patch200_2m,splat_dataset1_sfm_1024_sift_global_res1024_patch200_stage2,patch,p034,COMPLETE,complete,200,2000000,,0.6349583201938205,20.24155196632969,0.41286744011773,python_full_resolution_undistorted,full_resolution_undistorted,5347,4691,579.102,2000000,7988,14383,completed_requested_iterations,,2026-07-12T09:33:34.519050+00:00,s3://3dreefs-ben-eu-north1/experiments/ablations/stage2_resolution_fullres_eval/runs/splat_dataset1_sfm_1024_sift_global_res1024_patch200_stage2/ablation_eval/results_splat.csv
D1,dataset1,1024,sift,global,1024,splat_dataset1_sfm_1024_sift_global_res1024_patch200_2m,splat_dataset1_sfm_1024_sift_global_res1024_patch200_stage2,patch,p042,COMPLETE,complete,200,2000000,,0.5976725776990255,19.542658807710392,0.4065139691034953,python_full_resolution_undistorted,full_resolution_undistorted,5347,4691,541.152,2000000,7949,14401,completed_requested_iterations,,2026-07-12T09:45:37.528474+00:00,s3://3dreefs-ben-eu-north1/experiments/ablations/stage2_resolution_fullres_eval/runs/splat_dataset1_sfm_1024_sift_global_res1024_patch200_stage2/ablation_eval/results_splat.csv
D1,dataset1,1024,sift,global,1024,splat_dataset1_sfm_1024_sift_global_res1024_patch200_2m,splat_dataset1_sfm_1024_sift_global_res1024_patch200_stage2,patch,p051,COMPLETE,complete,200,2000000,,0.6566485613584518,21.32424638967686,0.42762918919324877,python_full_resolution_undistorted,full_resolution_undistorted,5347,4691,541.713,2000000,8928,14427,completed_requested_iterations,,2026-07-12T09:58:34.252135+00:00,s3://3dreefs-ben-eu-north1/experiments/ablations/stage2_resolution_fullres_eval/runs/splat_dataset1_sfm_1024_sift_global_res1024_patch200_stage2/ablation_eval/results_splat.csv
D1,dataset1,1024,sift,global,1024,splat_dataset1_sfm_1024_sift_global_res1024_patch200_2m,splat_dataset1_sfm_1024_sift_global_res1024_patch200_stage2,patch,p059,COMPLETE,complete,200,2000000,,0.6267950028181076,20.354636160900746,0.4359896808862686,python_full_resolution_undistorted,full_resolution_undistorted,5347,4691,547.625,2000000,8185,14457,completed_requested_iterations,,2026-07-12T10:11:44.004143+00:00,s3://3dreefs-ben-eu-north1/experiments/ablations/stage2_resolution_fullres_eval/runs/splat_dataset1_sfm_1024_sift_global_res1024_patch200_stage2/ablation_eval/results_splat.csv
D1,dataset1,1024,sift,global,1024,splat_dataset1_sfm_1024_sift_global_res1024_patch200_2m,splat_dataset1_sfm_1024_sift_global_res1024_patch200_stage2,patch,p068,COMPLETE,complete,200,2000000,,0.6062542393803596,19.908253568028794,0.4520394250750542,python_full_resolution_undistorted,full_resolution_undistorted,5363,4712,531.686,2000000,8225,14427,completed_requested_iterations,,2026-07-12T10:24:37.552289+00:00,s3://3dreefs-ben-eu-north1/experiments/ablations/stage2_resolution_fullres_eval/runs/splat_dataset1_sfm_1024_sift_global_res1024_patch200_stage2/ablation_eval/results_splat.csv
D1,dataset1,1024,sift,global,1024,splat_dataset1_sfm_1024_sift_global_res1024_patch200_2m,splat_dataset1_sfm_1024_sift_global_res1024_patch200_stage2,patch,p076,COMPLETE,complete,200,2000000,,0.6322557595041063,20.193162559807877,0.4358772718244129,python_full_resolution_undistorted,full_resolution_undistorted,5363,4712,553.791,2000000,8054,14419,completed_requested_iterations,,2026-07-12T10:37:29.100728+00:00,s3://3dreefs-ben-eu-north1/experiments/ablations/stage2_resolution_fullres_eval/runs/splat_dataset1_sfm_1024_sift_global_res1024_patch200_stage2/ablation_eval/results_splat.csv
