stage,dataset_id,dataset,outer_run_id,source_uri,remote_prefix,row_count,complete_rows,failed_rows,training_runtime_seconds,peak_ram_mib,peak_vram_mib,first_updated_at,last_updated_at,evidence_archive,evidence_path
stage1,D1,dataset1,sfm_dataset1_sfm_1024_aliked_global_fullres_eval,s3://3dreefs-ben-eu-north1/experiments/ablations/stage1_fullres_eval/runs/sfm_dataset1_sfm_1024_aliked_global_fullres_eval/ablation_eval/results_splat.csv,s3://3dreefs-ben-eu-north1/experiments/ablations/stage1_fullres_eval/runs/sfm_dataset1_sfm_1024_aliked_global_fullres_eval/,4,4,0,13943.675,14045,14353,2026-07-08T01:32:20.999319+00:00,2026-07-08T05:45:03.079007+00:00,stage-1-metadata-20260724.tar.zst,runs/sfm_dataset1_sfm_1024_aliked_global_fullres_eval/
stage1,D1,dataset1,sfm_dataset1_sfm_1024_aliked_incremental_fullres_eval,s3://3dreefs-ben-eu-north1/experiments/ablations/stage1_fullres_eval/runs/sfm_dataset1_sfm_1024_aliked_incremental_fullres_eval/ablation_eval/results_splat.csv,s3://3dreefs-ben-eu-north1/experiments/ablations/stage1_fullres_eval/runs/sfm_dataset1_sfm_1024_aliked_incremental_fullres_eval/,4,0,4,,,,2026-07-08T03:44:16.736533+00:00,2026-07-08T03:44:16.736533+00:00,stage-1-metadata-20260724.tar.zst,runs/sfm_dataset1_sfm_1024_aliked_incremental_fullres_eval/
stage1,D1,dataset1,sfm_dataset1_sfm_1024_sift_global_fullres_eval,s3://3dreefs-ben-eu-north1/experiments/ablations/stage1_fullres_eval/runs/sfm_dataset1_sfm_1024_sift_global_fullres_eval/ablation_eval/results_splat.csv,s3://3dreefs-ben-eu-north1/experiments/ablations/stage1_fullres_eval/runs/sfm_dataset1_sfm_1024_sift_global_fullres_eval/,10,10,0,39318.008,18068,16051,2026-07-08T12:14:17.279474+00:00,2026-07-09T01:19:16.195139+00:00,stage-1-metadata-20260724.tar.zst,runs/sfm_dataset1_sfm_1024_sift_global_fullres_eval/
stage1,D1,dataset1,sfm_dataset1_sfm_1024_sift_incremental_fullres_eval,s3://3dreefs-ben-eu-north1/experiments/ablations/stage1_fullres_eval/runs/sfm_dataset1_sfm_1024_sift_incremental_fullres_eval/ablation_eval/results_sfm.csv,s3://3dreefs-ben-eu-north1/experiments/ablations/stage1_fullres_eval/runs/sfm_dataset1_sfm_1024_sift_incremental_fullres_eval/,1,0,1,,,,2026-07-08T20:34:44.763173+00:00,2026-07-08T20:34:44.763173+00:00,stage-1-metadata-20260724.tar.zst,runs/sfm_dataset1_sfm_1024_sift_incremental_fullres_eval/
stage1,D1,dataset1,sfm_dataset1_sfm_2048_aliked_global_fullres_eval,s3://3dreefs-ben-eu-north1/experiments/ablations/stage1_fullres_eval/runs/sfm_dataset1_sfm_2048_aliked_global_fullres_eval/ablation_eval/results_splat.csv,s3://3dreefs-ben-eu-north1/experiments/ablations/stage1_fullres_eval/runs/sfm_dataset1_sfm_2048_aliked_global_fullres_eval/,4,4,0,13801.278,13674,14479,2026-07-08T01:37:50.674216+00:00,2026-07-08T05:38:57.103225+00:00,stage-1-metadata-20260724.tar.zst,runs/sfm_dataset1_sfm_2048_aliked_global_fullres_eval/
stage1,D1,dataset1,sfm_dataset1_sfm_2048_aliked_incremental_fullres_eval,s3://3dreefs-ben-eu-north1/experiments/ablations/stage1_fullres_eval/runs/sfm_dataset1_sfm_2048_aliked_incremental_fullres_eval/ablation_eval/results_splat.csv,s3://3dreefs-ben-eu-north1/experiments/ablations/stage1_fullres_eval/runs/sfm_dataset1_sfm_2048_aliked_incremental_fullres_eval/,4,0,4,,,,2026-07-08T04:15:56.881650+00:00,2026-07-08T04:15:56.881650+00:00,stage-1-metadata-20260724.tar.zst,runs/sfm_dataset1_sfm_2048_aliked_incremental_fullres_eval/
stage1,D1,dataset1,sfm_dataset1_sfm_2048_sift_global_fullres_eval,s3://3dreefs-ben-eu-north1/experiments/ablations/stage1_fullres_eval/runs/sfm_dataset1_sfm_2048_sift_global_fullres_eval/ablation_eval/results_splat.csv,s3://3dreefs-ben-eu-north1/experiments/ablations/stage1_fullres_eval/runs/sfm_dataset1_sfm_2048_sift_global_fullres_eval/,10,10,0,38736.918,18314,13569,2026-07-08T13:13:36.216978+00:00,2026-07-09T02:08:12.403880+00:00,stage-1-metadata-20260724.tar.zst,runs/sfm_dataset1_sfm_2048_sift_global_fullres_eval/
stage1,D1,dataset1,sfm_dataset1_sfm_2048_sift_incremental_fullres_eval,s3://3dreefs-ben-eu-north1/experiments/ablations/stage1_fullres_eval/runs/sfm_dataset1_sfm_2048_sift_incremental_fullres_eval/ablation_eval/results_sfm.csv,s3://3dreefs-ben-eu-north1/experiments/ablations/stage1_fullres_eval/runs/sfm_dataset1_sfm_2048_sift_incremental_fullres_eval/,1,0,1,,,,2026-07-08T20:34:53.064632+00:00,2026-07-08T20:34:53.064632+00:00,stage-1-metadata-20260724.tar.zst,runs/sfm_dataset1_sfm_2048_sift_incremental_fullres_eval/
stage1,D1,dataset1,sfm_dataset1_sfm_full_aliked_global_fullres_eval,s3://3dreefs-ben-eu-north1/experiments/ablations/stage1_fullres_eval/runs/sfm_dataset1_sfm_full_aliked_global_fullres_eval/ablation_eval/results_splat.csv,s3://3dreefs-ben-eu-north1/experiments/ablations/stage1_fullres_eval/runs/sfm_dataset1_sfm_full_aliked_global_fullres_eval/,4,4,0,13808.729,13805,13525,2026-07-08T01:25:11.405141+00:00,2026-07-08T05:33:22.938968+00:00,stage-1-metadata-20260724.tar.zst,runs/sfm_dataset1_sfm_full_aliked_global_fullres_eval/
stage1,D1,dataset1,sfm_dataset1_sfm_full_aliked_incremental_fullres_eval,s3://3dreefs-ben-eu-north1/experiments/ablations/stage1_fullres_eval/runs/sfm_dataset1_sfm_full_aliked_incremental_fullres_eval/ablation_eval/results_splat.csv,s3://3dreefs-ben-eu-north1/experiments/ablations/stage1_fullres_eval/runs/sfm_dataset1_sfm_full_aliked_incremental_fullres_eval/,4,0,4,,,,2026-07-08T04:45:46.975477+00:00,2026-07-08T04:45:46.975477+00:00,stage-1-metadata-20260724.tar.zst,runs/sfm_dataset1_sfm_full_aliked_incremental_fullres_eval/
