job_id,dataset,variant,patch_id,patch_size,splat_count,max_width,training_resolution,status,ssim,psnr,lpips,metric_source,eval_target_source,eval_image_width,eval_image_height,training_runtime_seconds,output_ply_size_bytes,output_sog_size_bytes,actual_splat_count,peak_ram_mib,peak_vram_mib,failure_reason,updated_at
splat_eval_splat_dataset6_sfm_1024_sift_global_res1024_patch200_500k_p000,dataset6,sfm_1024_sift_global,p000,200,500000,,1024,complete,0.6411644965410233,23.844523769433593,0.547062819202741,python_full_resolution_undistorted,full_resolution_undistorted,3409,2555,292.311,124001531,,500000,5100,2945,completed_requested_iterations,2026-07-24T02:19:15.692279+00:00
splat_eval_splat_dataset6_sfm_1024_sift_global_res1024_patch200_500k_p016,dataset6,sfm_1024_sift_global,p016,200,500000,,1024,complete,0.5577966291457415,21.296181370701344,0.6083267442882061,python_full_resolution_undistorted,full_resolution_undistorted,3409,2555,260.452,124001531,,500000,5573,5009,completed_requested_iterations,2026-07-24T02:24:37.476073+00:00
splat_eval_splat_dataset6_sfm_1024_sift_global_res1024_patch200_500k_p031,dataset6,sfm_1024_sift_global,p031,200,500000,,1024,complete,0.5320464998483658,22.195793553089096,0.5425467431545258,python_full_resolution_undistorted,full_resolution_undistorted,3407,2553,226.9,124001531,,500000,5422,5043,completed_requested_iterations,2026-07-24T02:29:04.094356+00:00
splat_eval_splat_dataset6_sfm_1024_sift_global_res1024_patch200_500k_p047,dataset6,sfm_1024_sift_global,p047,200,500000,,1024,complete,0.5562001407146454,21.7610542943094,0.5042550444602967,python_full_resolution_undistorted,full_resolution_undistorted,3409,2555,242.32,124001531,,500000,5628,4979,completed_requested_iterations,2026-07-24T02:33:46.532232+00:00
splat_eval_splat_dataset6_sfm_1024_sift_global_res1024_patch200_500k_p062,dataset6,sfm_1024_sift_global,p062,200,500000,,1024,complete,0.5409193999237485,20.45117307525662,0.5166556768947177,python_full_resolution_undistorted,full_resolution_undistorted,3409,2555,251.554,124001531,,500000,5482,4907,completed_requested_iterations,2026-07-24T02:38:33.346422+00:00
splat_eval_splat_dataset6_sfm_1024_sift_global_res1024_patch200_500k_p078,dataset6,sfm_1024_sift_global,p078,200,500000,,1024,complete,0.6002591484122806,22.524708273040652,0.5295459528764089,python_full_resolution_undistorted,full_resolution_undistorted,3409,2555,267.819,124001531,,500000,5386,4841,completed_requested_iterations,2026-07-24T02:43:36.421180+00:00
splat_eval_splat_dataset6_sfm_1024_sift_global_res1024_patch200_500k_p093,dataset6,sfm_1024_sift_global,p093,200,500000,,1024,complete,0.5057496279478073,18.98013271828163,0.4837084263563156,python_full_resolution_undistorted,full_resolution_undistorted,3409,2555,221.709,124001531,,500000,4978,3911,completed_requested_iterations,2026-07-24T02:47:34.058245+00:00
splat_eval_splat_dataset6_sfm_1024_sift_global_res1024_patch200_500k_p109,dataset6,sfm_1024_sift_global,p109,200,500000,,1024,complete,0.5874525216909555,21.07239832030364,0.5010813772678375,python_full_resolution_undistorted,full_resolution_undistorted,3409,2555,230.032,124001531,,500000,5505,5055,completed_requested_iterations,2026-07-24T02:52:15.565383+00:00
splat_eval_splat_dataset6_sfm_1024_sift_global_res1024_patch200_500k_p124,dataset6,sfm_1024_sift_global,p124,200,500000,,1024,complete,0.5853670910000801,25.109872248062363,0.46663883328437805,python_full_resolution_undistorted,full_resolution_undistorted,3407,2553,220.29,124001531,,500000,5381,4963,completed_requested_iterations,2026-07-24T02:56:26.544869+00:00
splat_eval_splat_dataset6_sfm_1024_sift_global_res1024_patch200_500k_p140,dataset6,sfm_1024_sift_global,p140,200,500000,,1024,complete,0.6298205256462097,24.607288802947348,0.42622114221254986,python_full_resolution_undistorted,full_resolution_undistorted,3409,2555,206.818,124001531,,500000,4659,3903,completed_requested_iterations,2026-07-24T03:00:04.722330+00:00
