job_id,dataset,variant,patch_id,patch_size,splat_count,max_width,training_resolution,status,ssim,psnr,lpips,metric_source,eval_target_source,eval_image_width,eval_image_height,training_runtime_seconds,output_ply_size_bytes,output_sog_size_bytes,actual_splat_count,peak_ram_mib,peak_vram_mib,failure_reason,updated_at
splat_eval_splat_dataset4_sfm_1024_sift_global_res1024_patch400_500k_p000,dataset4,sfm_1024_sift_global,p000,400,500000,,1024,complete,0.5236461674555754,16.52039439677702,0.7519803291712052,python_full_resolution_undistorted,full_resolution_undistorted,5396,4735,456.974,124001531,,500000,8089,7733,completed_requested_iterations,2026-07-12T01:13:23.904570+00:00
splat_eval_splat_dataset4_sfm_1024_sift_global_res1024_patch400_500k_p004,dataset4,sfm_1024_sift_global,p004,400,500000,,1024,complete,0.5434543866860239,16.90442889565169,0.7130120459355807,python_full_resolution_undistorted,full_resolution_undistorted,5396,4735,401.003,124001531,,500000,8468,11747,completed_requested_iterations,2026-07-12T01:26:53.436425+00:00
splat_eval_splat_dataset4_sfm_1024_sift_global_res1024_patch400_500k_p008,dataset4,sfm_1024_sift_global,p008,400,500000,,1024,complete,0.5397575481941825,16.898388279634233,0.7407189309597015,python_full_resolution_undistorted,full_resolution_undistorted,5396,4735,388.348,124001531,,500000,8449,11715,completed_requested_iterations,2026-07-12T01:40:22.736848+00:00
splat_eval_splat_dataset4_sfm_1024_sift_global_res1024_patch400_500k_p012,dataset4,sfm_1024_sift_global,p012,400,500000,,1024,complete,0.5122662305831909,16.664609618692133,0.7609588652849197,python_full_resolution_undistorted,full_resolution_undistorted,5363,4708,391.952,124001531,,500000,8649,11721,completed_requested_iterations,2026-07-12T01:54:00.906554+00:00
splat_eval_splat_dataset4_sfm_1024_sift_global_res1024_patch400_500k_p016,dataset4,sfm_1024_sift_global,p016,400,500000,,1024,complete,0.5612060701524889,18.14940126678964,0.6515909610567866,python_full_resolution_undistorted,full_resolution_undistorted,5358,4707,385.64,124001531,,500000,8558,11775,completed_requested_iterations,2026-07-12T02:07:17.694699+00:00
splat_eval_splat_dataset4_sfm_1024_sift_global_res1024_patch400_500k_p021,dataset4,sfm_1024_sift_global,p021,400,500000,,1024,complete,0.5477681033313274,18.22680798866679,0.664286082983017,python_full_resolution_undistorted,full_resolution_undistorted,5363,4708,407.067,124001531,,500000,8756,11827,completed_requested_iterations,2026-07-12T02:21:29.729675+00:00
splat_eval_splat_dataset4_sfm_1024_sift_global_res1024_patch400_500k_p025,dataset4,sfm_1024_sift_global,p025,400,500000,,1024,complete,0.5492992989326778,17.924674377897993,0.68658415737905,python_full_resolution_undistorted,full_resolution_undistorted,5396,4735,389.157,124001531,,500000,8711,11719,completed_requested_iterations,2026-07-12T02:34:51.873625+00:00
splat_eval_splat_dataset4_sfm_1024_sift_global_res1024_patch400_500k_p029,dataset4,sfm_1024_sift_global,p029,400,500000,,1024,complete,0.5455690576479986,17.961811371917722,0.6826490652866852,python_full_resolution_undistorted,full_resolution_undistorted,5396,4735,394.164,124001531,,500000,8704,11755,completed_requested_iterations,2026-07-12T02:48:31.577662+00:00
splat_eval_splat_dataset4_sfm_1024_sift_global_res1024_patch400_500k_p033,dataset4,sfm_1024_sift_global,p033,400,500000,,1024,complete,0.4474828541278839,15.16072577401292,0.7898527334133784,python_full_resolution_undistorted,full_resolution_undistorted,5363,4708,377.667,124001531,,500000,8591,11669,completed_requested_iterations,2026-07-12T03:01:28.362196+00:00
splat_eval_splat_dataset4_sfm_1024_sift_global_res1024_patch400_500k_p037,dataset4,sfm_1024_sift_global,p037,400,500000,,1024,complete,0.5663272926100978,18.93972634334754,0.5941389214109492,python_full_resolution_undistorted,full_resolution_undistorted,5358,4707,352.25,124001531,,500000,8378,11625,completed_requested_iterations,2026-07-12T03:12:30.102828+00:00
