job_id,dataset,variant,patch_id,patch_size,splat_count,max_width,training_resolution,status,ssim,psnr,lpips,metric_source,eval_target_source,eval_image_width,eval_image_height,training_runtime_seconds,output_ply_size_bytes,output_sog_size_bytes,actual_splat_count,peak_ram_mib,peak_vram_mib,failure_reason,updated_at
splat_eval_splat_dataset2_sfm_1024_sift_global_res2048_patch200_500k_p000,dataset2,sfm_1024_sift_global,p000,200,500000,,2048,complete,0.748472832971149,23.910009664639258,0.5596458431747224,python_full_resolution_undistorted,full_resolution_undistorted,5365,4713,670.471,124001531,,500000,7749,8841,completed_requested_iterations,2026-07-11T23:08:44.320299+00:00
splat_eval_splat_dataset2_sfm_1024_sift_global_res2048_patch200_500k_p005,dataset2,sfm_1024_sift_global,p005,200,500000,,2048,complete,0.6530782423521343,22.13180338905328,0.6318105741551048,python_full_resolution_undistorted,full_resolution_undistorted,5365,4713,573.636,124001531,,500000,8316,12983,completed_requested_iterations,2026-07-11T23:21:58.675486+00:00
splat_eval_splat_dataset2_sfm_1024_sift_global_res2048_patch200_500k_p010,dataset2,sfm_1024_sift_global,p010,200,500000,,2048,complete,0.7157606868182912,23.47327683791011,0.5721244741888607,python_full_resolution_undistorted,full_resolution_undistorted,5384,4712,571.155,124001531,,500000,8195,13077,completed_requested_iterations,2026-07-11T23:34:42.479220+00:00
splat_eval_splat_dataset2_sfm_1024_sift_global_res2048_patch200_500k_p016,dataset2,sfm_1024_sift_global,p016,200,500000,,2048,complete,0.7381631334622701,24.909932862040037,0.5860889984501733,python_full_resolution_undistorted,full_resolution_undistorted,5384,4712,512.151,124001531,,500000,8394,12983,completed_requested_iterations,2026-07-11T23:46:43.203343+00:00
splat_eval_splat_dataset2_sfm_1024_sift_global_res2048_patch200_500k_p021,dataset2,sfm_1024_sift_global,p021,200,500000,,2048,complete,0.7581165366702609,25.572989413524045,0.5668559074401855,python_full_resolution_undistorted,full_resolution_undistorted,5365,4713,551.015,124001531,,500000,8254,13049,completed_requested_iterations,2026-07-11T23:59:20.621057+00:00
splat_eval_splat_dataset2_sfm_1024_sift_global_res2048_patch200_500k_p026,dataset2,sfm_1024_sift_global,p026,200,500000,,2048,complete,0.6280301478173997,21.407748865413158,0.5750710633065965,python_full_resolution_undistorted,full_resolution_undistorted,5384,4712,569.458,124001531,,500000,8264,13039,completed_requested_iterations,2026-07-12T00:12:21.656479+00:00
splat_eval_splat_dataset2_sfm_1024_sift_global_res2048_patch200_500k_p031,dataset2,sfm_1024_sift_global,p031,200,500000,,2048,complete,0.6148670837283134,21.476218309238465,0.5917843729257584,python_full_resolution_undistorted,full_resolution_undistorted,5384,4712,623.465,124001531,,500000,8505,13119,completed_requested_iterations,2026-07-12T00:26:41.012377+00:00
splat_eval_splat_dataset2_sfm_1024_sift_global_res2048_patch200_500k_p037,dataset2,sfm_1024_sift_global,p037,200,500000,,2048,complete,0.49871832297907936,17.99659573023115,0.6719695627689362,python_full_resolution_undistorted,full_resolution_undistorted,5384,4712,565.003,124001531,,500000,8456,13051,completed_requested_iterations,2026-07-12T00:39:33.174436+00:00
splat_eval_splat_dataset2_sfm_1024_sift_global_res2048_patch200_500k_p042,dataset2,sfm_1024_sift_global,p042,200,500000,,2048,complete,0.5180378198623657,18.86351352351003,0.5869647423426311,python_full_resolution_undistorted,full_resolution_undistorted,5384,4712,557.28,124001531,,500000,8328,13007,completed_requested_iterations,2026-07-12T00:51:50.035141+00:00
splat_eval_splat_dataset2_sfm_1024_sift_global_res2048_patch200_500k_p047,dataset2,sfm_1024_sift_global,p047,200,500000,,2048,complete,0.5640915069315169,19.822979638543544,0.5918447375297546,python_full_resolution_undistorted,full_resolution_undistorted,5384,4712,554.701,124001531,,500000,8482,12957,completed_requested_iterations,2026-07-12T01:04:36.472350+00:00
